MGI symbol,430AV2_NonAstro_Enrich,430AV2_NonAstro_Hedges_g,430AV2_NonAstro_Var_g,430AV2_NonAstro_SEg
Emp1,0.2452350000000001,3.482774273863756,2.0787145803359017,1.4417748022267214
Emp2,0.12651500000000038,0.1377370158131677,0.5671226722786662,0.7530692255882188
Emp3,-0.11794500000000063,-0.19580495389262514,0.5672924474961116,0.7531881886329018
Emr1,-0.04669499999999971,-0.3228590913910837,0.5755297491117345,0.7586367702080716
Emr4,-0.0610949999999999,-0.20841155021551516,0.5774367918619839,0.7598337869429268
En1,0.019565000000000055,0.06697695134613271,0.5630607390014528,0.7503737328834564
En2,0.04410500000000006,0.13572350707179517,0.5648026087964835,0.751533504773063
Enah,0.061198749999999524,0.26316755572209694,0.5882795495986785,0.7669839384254061
Enam,0.20420000000000016,0.918869106577896,0.6680400543779077,0.8173371730062862
Enc1,0.3247933333333333,2.975799116769503,2.067612488798592,1.340000497993414
Endod1,0.08792666666666656,0.3354454726695346,0.6129485568176342,0.7825842643166443
Endog,-0.2222224999999991,-2.8047232220191485,2.1565486053263148,1.3520456428816985
Endou,-0.09930249999999985,0.16597074246792407,0.5937133614901291,0.7704234310471655
Eng,0.035516428571427686,0.6030771544014744,0.6547016557443373,0.807641952283204
Enkd1,0.28664999999999985,0.5022016884150153,0.5940258169808615,0.7707307032815428
Eno1,0.10568500000000114,0.937648343540141,0.6723980520179464,0.8199988122052045
Eno2,0.05370000000000097,1.4032945586423307,0.8086544522893968,0.8992521627938387
Eno3,-0.29427999999999965,-0.5728686939305881,0.6035223175607173,0.7768669883324412
Enoph1,0.30760000000000076,5.774596648107485,4.730745806041776,2.1750277713265587
Enox2,0.030520000000000103,0.12554086325929034,0.5644700635434861,0.7513122277345724
Enpep,-0.004669999999999952,-0.018512498551007468,0.5625428390753251,0.7500285588398118
