MGI symbol,430AV2_CerCx_3h_Enrich,430AV2_CerCx_3h_Hedges_g,430AV2_CerCx_3h_Var_g,430AV2_CerCx_3h_SEg
Myh6,-0.008082799999999413,-0.04364315345986304,0.33623076247413464,0.5798540799682557
Myh7,-0.0019319999999991566,-0.006024562967137396,0.33611292587905833,0.5797524694894005
Myh8,0.09398399999999896,0.5113453859238439,0.34918481629639136,0.590918620705416
Myh9,0.016373999999999,0.2126335857567018,0.3383717632006987,0.5816973123547149
Myl1,-0.1374960000000005,-0.8370818575896483,0.3711464129263979,0.6092178698350844
Myl10,0.09407599999999938,0.631724372800753,0.35606489527063634,0.5967117354892866
Myl12a,0.03650700000000029,0.18227638534359622,0.3410568184399148,0.5839870028839843
Myl12b,-0.09010079999999973,-1.323475148995551,0.49340099627226613,0.6960491472736727
Myl2,-0.07078599999999913,-0.7062256892249791,0.3610488473171759,0.6008734037359084
Myl3,0.0726199999999988,0.7852028915466888,0.3669382901557751,0.6057543150120973
Myl4,-0.0613855384615375,-0.07055629973655032,0.3390226852148789,0.5822563250952908
Myl6,-0.017694999999998906,-0.10914069204774082,0.33683570690195114,0.5803752913307854
Myl7,0.10201999999999956,0.7066645766739136,0.36107985230739714,0.6008992031176253
Myl9,-0.18515800000000038,-1.6379811450440325,0.4702602226870991,0.6857552206779757
Mylip,0.1377580000000016,1.1200095625609605,0.39883218212251076,0.6315316160910004
Mylk,-0.012318666666666958,-0.15601645472666303,0.3528676295497364,0.5940135189184375
Mylk2,0.03990399999999994,0.24926682730449776,0.3392178086708336,0.5824240797484541
Mylpf,0.16676800000000025,0.7867011540900203,0.3670560464034396,0.6058515052415399
Mynn,-0.03140666666666636,-0.23561425394522134,0.3436248424155753,0.586132804238853
Myo10,0.0376480000000002,0.24670937981438085,0.339460581940344,0.5826301747885287
Myo15,-0.10127599999999948,-1.040529255721062,0.39024616771168247,0.6246968606545757
Myo15b,-0.07580799999999975,-0.712520870858479,0.36863342788619846,0.6067092602953087
Myo18a,-0.007828000000001722,-0.07263163150631359,0.3363748788058745,0.5799783433938499
Myo19,0.007607999999998505,0.03688145647832757,0.33617912320270926,0.5798095577021039
Myo1b,-0.32823200000000047,-1.356811480848491,0.42888170434179623,0.6547719618611739
Myo1c,-0.006128081632652703,-0.012761450170934004,0.33768487545066744,0.58110565356888
Myo1e,-0.10553600000000074,-0.5741995123928373,0.3525963651127197,0.5937982528710569
Myo1f,-0.11761399999999966,-0.792611098302249,0.36752272876870595,0.6062365287317367
Myo1g,-0.021270000000000344,-0.1604070887426038,0.337397632817055,0.5808593916061399
Myo1h,0.018384000000000178,0.07024614231174045,0.3363578371365951,0.5799636515649883
Myo5a,-0.12603624999999918,-0.5860194905167859,0.35349778725512015,0.594548221671853
Myo5b,-0.18390600000000035,-0.877994846091,0.37465485859922903,0.6120905640501486
Myo5c,-0.0546540000000002,-0.7347186961428973,0.36310168923420705,0.6025791974788103
Myo6,-0.07934466666666674,-0.6040665999371466,0.35906028682566593,0.5989772206201742
Myo7a,-0.014484000000000385,-0.11335048511909998,0.3367535277349479,0.580304685260207
Myo7b,0.026116000000000916,0.08160510878391831,0.33644408080009286,0.580037999444944
Myo9a,0.13766199999999884,1.900937182864397,0.5167892197709326,0.7188805323354727
Myo9b,0.03303199999999684,0.3092833736754242,0.34089392137271374,0.583861217561771
Myoc,-0.045021999999999895,-0.23541323589499163,0.3390854917708959,0.5823090498263332
Myocd,0.01092415384615375,-0.08738056618101912,0.3434440026038414,0.5860293197885694
Myod1,-0.04980200000000057,-0.2254737267413668,0.3386530311836431,0.5819390270325948
Myog,-0.011801999999999424,-0.09338082863035792,0.3365471100688957,0.5801268051632296
Myom1,0.04714199999999913,0.5497990109227214,0.3512250587316912,0.592642437504851
Myom2,-0.027755999999999226,-0.1791256454121003,0.3377154109533262,0.5811328685880073
Myot,0.0928959999999992,0.763715912973926,0.36527421089759093,0.6043791946266772
Myoz1,-0.007188000000000194,-0.022484825526836436,0.33786216726980955,0.5812590112415545
