MGI symbol,430AV2_HypoT_9h_Enrich,430AV2_HypoT_9h_Hedges_g,430AV2_HypoT_9h_Var_g,430AV2_HypoT_9h_SEg
Gm5595,0.06928600000000085,0.3091500405514974,0.3408897984897607,0.5838576868465128
Gm5601,0.0681432000000008,0.28725859408979515,0.3876102309403024,0.6214474984833943
Gm561,-0.10879399999999784,-0.2411540193889072,0.33901887416448234,0.5822532732106213
Gm5611,-0.023475000000000357,-0.4611559373456683,0.36739987079485736,0.6056410533447676
Gm5616,-0.12446600000000085,-0.5852497443623909,0.3554238168184597,0.5960859115841362
Gm5617,-0.3513800000000016,-1.0878085153785488,0.3952774794176152,0.6287109665161053
Gm5619,-0.21195599999999892,-1.0444309598793888,0.39065291260884016,0.6250223296881802
Gm5621,-0.16873800000000116,-0.6523461513302523,0.3573888861688807,0.5978201118805562
Gm5633,-0.0953620000000015,-0.5804441150059148,0.35295687964336103,0.5941017418282504
Gm5634,-0.06200000000000028,-0.5145842965291444,0.3493509610228308,0.5910591857190198
Gm5635,-0.06200000000000028,-0.5145842965291444,0.3493509610228308,0.5910591857190198
Gm5637,0.10956800000000033,0.39710897187258637,0.34399588788819624,0.5865116263879142
Gm5639,-0.012095999999999663,-0.0845584061338281,0.33646861731350575,0.5800591498403467
Gm5640,-0.012095999999999663,-0.0845584061338281,0.33646861731350575,0.5800591498403467
Gm5641,0.26873400000000025,0.8886387722496,0.37559505448837494,0.6128581030616915
Gm5643,-0.12640200000000146,-0.469940267712142,0.3521585793384851,0.593297198052548
Gm5648,0.05062600000000028,0.910891918972606,0.3775973155135909,0.614489475510843
Gm5678,-0.1917420000000032,-1.7665651751901195,0.492148737020836,0.7015331332309516
Gm568,0.18917399999999862,0.7199056445557301,0.36202431796427115,0.601684566832382
Gm5687,-0.11782600000000087,-0.7288471741374053,0.36267202127351517,0.6022225678879156
Gm5745,-0.20934000000000097,-0.9166236070668223,0.3781210529627207,0.61491548440637
Gm5762,0.14758999999999922,0.7281570271265815,0.36262174391880214,0.6021808232738752
Gm5763,-0.030712000000000295,-0.22249399570649273,0.34323681748073354,0.585835538286246
Gm5776,-0.03978799999999971,-0.08057590382127167,0.33643573492494183,0.5800308051517108
Gm5786,-0.24173000000000044,-0.9016164822293091,0.37688985632590977,0.613901863716193
Gm5792,-0.06273200000000045,-0.24374711076059544,0.339081743811318,0.5823072589375115
Gm5796,-0.005242999999998776,-0.03600391082400201,0.3363064733939842,0.5799193463183541
Gm5801,-0.1401419999999991,-0.8625010636891797,0.37330651535435944,0.6109881466561847
Gm5803,-0.12640200000000146,-0.46994026771214165,0.3521585793384851,0.593297198052548
Gm5806,-0.030263999999999847,-0.10036396505787344,0.3380708861057174,0.5814367693926498
Gm5808,-0.2615779999999992,-0.9325240187939382,0.37959116339249094,0.6161097007777844
Gm5809,-0.16512800000000105,-0.7132256725110232,0.3615456541075512,0.6012866654995362
Gm5812,-0.19792799999999922,-0.9526336049187261,0.3814866503721335,0.6176460559026775
Gm5814,-0.06987200000000371,-0.32050809021876536,0.3412473829058951,0.5841638322473373
Gm5815,-0.16401600000000016,-0.8228843467130577,0.36996804351437984,0.6082499843932426
Gm5830,-0.015069999999997918,-0.07452365337904292,0.3363887998567591,0.5799903446237352
Gm5844,0.02456199999999864,0.18069201439791602,0.3383183277992965,0.5816489959699704
Gm5867,-0.15448799999999707,-1.1386156565866996,0.4009333917823292,0.633193013055521
Gm5874,-0.15811999999999848,-0.9283944660491671,0.37920692534064704,0.6157977958231476
Gm5879,-0.1369119999999988,-1.1789761222009438,0.4056103459471098,0.6368754556011009
Gm5884,-0.06778700000000093,-0.8368522101738138,0.407468552951167,0.6358625823622247
Gm5889,0.06300799999999995,0.4217426732613087,0.34500445523359086,0.5873707987579829
Gm5898,0.23894200000000065,0.5217655697749704,0.349723076601241,0.5913738890086719
Gm5900,-0.06562399999999968,-0.5833673433913489,0.3531269839778851,0.5942448855294298
Gm5903,0.028450000000001197,0.1588765602723599,0.3373731991813099,0.5808383589100413
Gm5908,-0.0470240000000004,-0.30339194506423134,0.340713444727604,0.583706642696144
Gm5913,0.06810199999999789,0.3503853730653231,0.3422496065940174,0.5850210308989049
Gm5915,-0.09383299999999917,-0.48125039920694557,0.35313174011439585,0.5940986794056462
Gm5921,-0.24173000000000044,-0.9016164822293091,0.37688985632590977,0.6139018637161932
Gm5925,-0.06340600000000052,-0.9516152375877283,0.3813896891315685,0.6175675583542002
Gm5931,0.12710399999999922,0.5146380937957411,0.34935372949039684,0.5910615276689871
Gm5934,0.10325399999999973,0.7551040388955413,0.364620216588929,0.6038379058894274
Gm5935,0.10325399999999973,0.7551040388955413,0.364620216588929,0.6038379058894274
Gm5936,-0.012095999999999663,-0.0845584061338281,0.33646861731350575,0.5800591498403467
Gm5937,-0.03839999999999755,-0.20591809232814792,0.3382312241485142,0.5815764989651097
Gm5939,0.05069999999999908,0.30126802124490415,0.3406492321423521,0.5836516359459228
Gm5940,0.26873400000000025,0.8886387722496,0.37559505448837494,0.6128581030616915
Gm5946,-0.20271800000000084,-2.707918905396563,0.702752351021317,0.838303257193551
