MGI symbol,430AV2_ZT12_AK_Enrich,430AV2_ZT12_AK_Hedges_g,430AV2_ZT12_AK_Var_g,430AV2_ZT12_AK_SEg
Amelx,0.06759999999999877,1.1148454275737152,0.5852400272818349,0.7650098216897838
Amfr,-0.010816666666666919,-0.3100259410364265,0.4896763403429601,0.6997687763418429
Amh,0.018946666666667333,0.45246127789006985,0.4987267673324928,0.7062058958494277
Amhr2,-0.04621333333333322,-0.3320571754540479,0.49085516398087664,0.7006105651364933
Amigo1,0.05444939393939437,0.3288969448880252,0.4943903048652063,0.7030862208325396
Ammecr1,-0.1931133333333328,-1.756453544011771,0.7387607543559592,0.859511927989344
Ammecr1l,0.003435000000000521,0.3057864542489274,0.5012715873126145,0.7078756200967738
Amn,-0.5018966666666671,-5.337391490826896,2.855645660529279,1.689865574692046
Amot,0.2232700000000012,1.548938766128446,0.698864114132242,0.833000589961041
Amotl2,-0.00023999999999979593,-0.001909910860626453,0.48166697064662456,0.6940223127872941
Ampd2,-0.016243333333331833,-0.2008512262420882,0.48502843459024575,0.6964398284060481
Ampd3,0.12875999999999976,1.8655149189439542,0.7716788260668721,0.8784525178214655
Amph,0.07560999999999929,0.7868403317127416,0.5332598089674847,0.7302464029130747
Amy1,-0.0874566666666663,-0.27903561132021015,0.48815507269873687,0.6986809520079511
Amy2a2,-0.044490000000000585,-0.1574004664353062,0.483731242236171,0.6955079023535038
Amy2a3,-0.044490000000000585,-0.1574004664353062,0.483731242236171,0.6955079023535038
Amy2a4,-0.044490000000000585,-0.1574004664353062,0.483731242236171,0.6955079023535038
Amy2a5,-0.044490000000000585,-0.1574004664353062,0.483731242236171,0.6955079023535038
Amy2b,-0.044490000000000585,-0.1574004664353062,0.483731242236171,0.6955079023535037
Amz2,0.12380333333333304,0.9734178795664745,0.5696009304050629,0.7540590012795224
Anapc1,-0.06993000000000027,-0.8105690186710298,0.574540028174513,0.7555685954049245
Anapc11,0.10168333333333379,0.6167880194273433,0.5133689550757586,0.7164977006772308
Anapc13,-0.08459666666666621,-1.831122022275888,0.761083988371978,0.8724012771494423
Anapc15,0.09872333333333483,0.5843256467059879,0.5101197051165306,0.714226648282274
Anapc16,0.0852878431372544,1.5953032720816507,0.7131520117032282,0.8411191758252892
Anapc2,0.017509999999999692,0.2312058909108573,0.48612134699932347,0.6972240292756149
Anapc4,-0.022829999999999906,-0.26155605211264027,0.48736763069972916,0.6981172041281674
Anapc5,0.013096666666667053,0.08194130305305546,0.5703143396587802,0.7541596769702544
Anapc7,-0.08916666666666728,-1.3122976411394303,0.6251770915783427,0.7906814096577348
Ang,-0.08023666666666696,-0.7686172246102657,0.5308977031639656,0.7286272731403659
Ang2,0.13876666666666626,0.5748937057988747,0.5092085644139301,0.7135885119688588
Ang5,0.031410000000000604,0.5469980532817386,0.5066005725245009,0.7117587881610601
Angel1,-0.10058333333333369,-0.9820661534087312,0.562037827472585,0.7496918216657995
Angel2,-0.058116900584795954,-0.22020909276823852,0.4920819283138011,0.7014358438695631
Angpt1,-0.012116666666666553,-0.10454495269161108,0.48257747059444084,0.6946779617883677
Angpt2,-0.015273333333333916,-0.21587755784893947,0.48555025999856843,0.6968143655225317
Angpt4,-0.0984066666666652,-1.3830006520063824,0.6410575669541732,0.8006607065131729
Angptl1,0.04611666666666725,0.7067389062424914,0.5232899901330693,0.7233878559480172
Angptl2,-0.09008555555555538,-1.987054364985992,1.5963620244018584,1.0804780726977434
Angptl3,0.07174333333333394,1.069328483159754,0.5769552837413949,0.7595757261401886
Angptl4,-0.03836333333333375,-0.336898321718273,0.49112503993138235,0.7008031392134187
Angptl6,0.02908666666666715,0.24959466462772034,0.4868581247175519,0.6977521943480737
Angptl7,-0.11946000000000012,-0.6760301925881926,0.5197514017742356,0.7209378626305013
Ank,0.0430433333333351,0.4650304819604593,0.49968777909603135,0.7068859731923044
Ank1,0.12335773662551441,1.5135510038471753,0.922815355041422,0.9209588012139166
Ank3,-0.017031568627451078,-0.5091602386513415,0.5667101804039933,0.7485847660485329
Ankef1,-0.06313194444444441,-0.35879783119076225,0.4993230939715438,0.7064929144556161
Ankfy1,0.13601999999999936,1.6211336941849417,0.7006728712018095,0.8370620474025863
Ankhd1,0.11161622222222256,0.7192528650678854,0.5426908886262105,0.7356284583445977
Ankib1,0.13973333333333215,2.55720454878283,1.026607925359633,1.0132166231165145
Ankmy2,-0.12419666666666629,-0.8936634252030414,0.5482762542632835,0.7404521377082979
Ankra2,-0.04594666666666747,-0.30280669697429047,0.48930765797770653,0.6995052951748876
Ankrd1,-0.03117166666666704,-0.6802838118082176,0.5833097435393535,0.7609921955591634
Ankrd10,0.21210666666666667,1.8624538140096816,0.8240141739326519,0.8971494194301068
Ankrd12,0.14139666666666706,0.8986013181989552,0.5489570274224083,0.7409163430660767
Ankrd13a,-0.030833333333337265,-0.11519446885347344,0.4827724804712027,0.6948183075244942
Ankrd13c,0.05737999999999843,1.2088758887987237,0.6034484095432419,0.7768194188762546
Ankrd17,0.044302121212121376,0.15171736685887316,0.4987530004508523,0.70608027458091
Ankrd2,0.11408333333333243,1.359146996329066,0.6356067131358601,0.7972494673161344
Ankrd22,0.03901666666666648,0.25779975617782375,0.4872050595237787,0.6980007589707755
Ankrd24,-0.006350666666665283,-0.16652376916063316,0.4925871280282087,0.7016785358915186
Ankrd26,-0.05172666666666714,-0.3170308619322817,0.49004238061812705,0.7000302712155575
Ankrd28,0.006083333333332774,0.05236712528610422,0.4818951929842275,0.6941867133446358
Ankrd32,0.472526666666667,4.693715007924874,2.317580047968266,1.5223600257390715
Ankrd33,-0.23889999999999922,-3.8576416336232153,1.7217832477885993,1.312167385583333
Ankrd33b,0.23759333333333466,1.2986059717653018,0.6221981224920419,0.7887953616065715
Ankrd36,-0.06888000000000005,-0.45164141655437445,0.4986649974289367,0.7061621608589183
Ankrd40,0.07795599999999929,1.5579177206556993,0.7867908412497707,0.8749443019956777
Ankrd44,-0.08959333333333497,-0.8737739393885406,0.5452900747628807,0.7384375902964858
Ankrd46,-0.09582999999999942,-0.9164904492069544,0.5516628952906304,0.7427401263501457
Ankrd49,-0.04956000000000138,-0.2133035187524964,0.48545819925934963,0.6967483040950654
Ankrd6,0.29654666666666607,2.4131560218902695,0.96991502279913,0.9840863765653401
Ankrd61,-0.05895666666666699,-0.5597057295046949,0.5077725419700319,0.7125816037269218
Anks1,-0.0400366666666665,-0.24034312294277768,0.48648040139549054,0.6974814702882727
Ankzf1,0.11023666666666632,0.6587224542875262,0.5178262726485484,0.7196014679310683
Anln,0.18890666666666744,1.8953470356814306,0.863537462132761,0.9131912029629997
Ano1,0.05860333333333312,0.7403817458722547,0.5273470941350705,0.7261866799488067
Ano10,-0.15305333333333326,-1.7019242797697078,0.7230455211724698,0.8503208342575582
Anp32a,0.18046747747747782,0.04002004198875484,0.5419736282872719,0.7358887150843871
Anp32b,-0.008153333333334345,-0.07893997169248797,0.48218595992756746,0.694396111688111
Anp32b-ps1,-0.008153333333334345,-0.07893997169248797,0.48218595992756746,0.694396111688111
Anp32e,0.009331538461538823,0.21121267663303003,0.49463003257822413,0.7031658444292466
Anpep,-0.04690666666666665,-0.2433714045709968,0.4866024700469049,0.69756897153393
Antxr1,-0.20371666666666677,-1.3227448788516134,0.6274711678773474,0.7921307770042441
Antxr2,-0.1599466666666669,-2.4173580615229255,0.9686349998008229,0.9841925623580088
Anxa1,0.09865999999999886,0.6307125323696701,0.5148165248740134,0.7175071601552234
Anxa10,-0.059333333333333904,-0.7404416823935316,0.5273544904188135,0.7261917724808052
Anxa11,0.0936799999999991,1.1266727106091927,0.5874492830692888,0.766452401046072
Anxa13,0.0016100000000003334,0.01010942003624117,0.4816751833644557,0.694028229515526
Anxa2,0.13620000000000054,1.8654747452841318,0.7716663354410747,0.8784454083442378
Anxa3,0.3176166666666669,2.3915518968088403,0.9582933729274966,0.9789246002259299
Anxa4,0.1123744444444436,0.9525021769688675,0.5812667354846746,0.7601182332618409
Anxa5,-0.003643333333334553,-0.07811235920007178,0.48217512838831666,0.6943883123932291
Anxa6,0.0567955555555546,0.20053057257780882,0.6009421586175525,0.7691475817613536
Anxa7,-0.02555166666666686,-0.23544978454534582,0.49582373716810546,0.7040844120336862
Anxa8,-0.04545666666666648,-0.3955647736669807,0.4947059575138507,0.703353366035772
Anxa9,0.19448333333333379,1.6690555394579023,0.7138121994829256,0.8448740731510972
