MGI symbol,430AV2_WB_AK_Enrich,430AV2_WB_AK_Hedges_g,430AV2_WB_AK_Var_g,430AV2_WB_AK_SEg
Orc4,-0.013646133333332955,-0.023806326252233338,0.5026686414086398,0.7089081963841352
Orc5,-0.1545088888888889,-0.8136284258991323,0.5577128081472255,0.7459226259722899
Orc6,-0.30825666666666685,-0.6764546710015744,0.5197992434933206,0.7209710420629393
Orm1,-0.012016666666666787,-0.07655512911534373,0.48215505731615554,0.6943738599026864
Orm2,0.12118666666666655,1.5831352698558843,0.6905264402218052,0.8309792056494586
Orm3,0.26266333333333325,0.7998571510529452,0.5349809551742111,0.7314239230256357
Ormdl1,-0.006306666666667127,-0.022609198206872586,0.48170926465362973,0.6940527823254005
Ormdl2,0.5514133333333344,2.040623578114845,0.8286787156298526,0.9103179200860833
Ormdl3,0.010130000000000194,0.045599259291152765,0.4818399410373251,0.694146916032424
Os9,-0.09901333333333333,-1.6025033995173732,0.7100220387173221,0.8398410429328775
Osbp,-0.017856666666665078,-0.35412249201749874,0.4921168949460569,0.7015104382302925
Osbpl10,-0.10012666666666714,-0.6786642522770535,0.520048763943231,0.721144066011245
Osbpl11,0.14177333333333308,0.6380719052782453,0.5155946463587842,0.7180491949433438
Osbpl1a,-0.04942666666666469,-0.7819714602455526,0.5459377504090495,0.738084502771821
Osbpl2,0.017006666666665282,0.4069698047380872,0.49546870183071295,0.7038953770488289
Osbpl5,-0.02547999999999906,-0.17366915432714639,0.48418008126372547,0.695830497509074
Osbpl6,0.16367333333333267,1.4686673538041843,0.6614153163441819,0.8132744409756044
Osbpl9,-0.18992964285714348,-0.7546935208529915,0.5367095098846987,0.7322676689367009
Oscar,-0.025129999999999875,-0.1562105361059269,0.48929865426925595,0.6994822272936504
Osgep,0.033466666666666534,0.32455478790900877,0.49044465086288824,0.7003175357385308
Osgin1,0.14147333333333378,0.48757607181162627,0.5014775354836045,0.7081507858384432
Osgin2,0.011531666666666496,0.11882034238350236,0.49935816604213495,0.7066252561069803
Osmr,-0.04072866666666695,-0.1591672010442668,0.4839742511250673,0.695682037543518
Osr1,-0.1743100000000002,-1.4265893982850988,0.6512631092749532,0.8070087417586957
Osr2,0.16592000000000118,0.8198284406326065,0.5376765560058409,0.733264315240992
Ost4,0.17428166666666667,1.549449564615037,0.7671326709858489,0.8626549040046193
Ostc,0.38268000000000235,1.7894791757895978,0.7485196433820515,0.8651702973299832
Ostf1,0.23445666666666742,0.7046818275373173,0.5230480398384444,0.7232206024709503
Otc,0.02326249999999952,0.20276329301169108,0.5089944031900614,0.7133279190901869
Otoa,-0.07792333333333268,-0.2289499888507305,0.4860348414495624,0.6971619908239135
Otof,0.08430666666666653,0.2904765146859895,0.48869805046534326,0.6990694174868067
Otog,0.13688333333333347,0.8680262224420646,0.5444557935705866,0.7378724778514147
Otor,-0.028019999999999712,-0.5144454979537072,0.5037211808637364,0.7097331758229541
Otos,0.10343666666666707,0.305746108404614,0.4894567235670471,0.6996118377836721
Otp,0.00033666666666753997,0.0022006089415132174,0.48166707022330935,0.6940223845261112
Ott,0.016419999999999657,0.12309034656917613,0.48292926945154324,0.694931125689117
Otub1,-0.09132999999999912,-0.6138780625816812,0.5167681621691734,0.7186947079344046
Otub2,0.5982750980392169,3.0281327962334013,1.2487153441434942,1.1166571360568365
Otud4,-0.05638166666666722,-0.4555895025038217,0.5004065750779868,0.7073589533364637
Otud5,-0.04549866666666702,-0.5527377107860335,0.509824569966809,0.7139372425610269
