MGI symbol,430AV2_Astro_Enrich,430AV2_Astro_Hedges_g,430AV2_Astro_Var_g,430AV2_Astro_SEg
Blm,-0.10143660714285652,-0.18469668267168754,0.24106398141927543,0.4909826691638672
Blmh,0.16571571428571552,0.41588399452559965,0.24569220249636356,0.4956734837535326
Blnk,0.5469103571428571,0.349675532534735,0.2440026518680596,0.49396624567682723
Bloc1s3,-0.25163392857142686,-0.4682615129429299,0.24723584741639798,0.49722816434349126
Bloc1s4,0.14515624999999943,0.4181432276848446,0.24575501122823457,0.49573683666662754
Bloc1s5,-0.349188392857144,-0.4581602725388724,0.24692391377737438,0.49691439280561633
Bloc1s6,0.012049543650792237,-0.2602067951116406,0.24927206455978387,0.49917962303783153
Blvra,-0.10722767857143012,-0.35578443563931395,0.2441463047543841,0.49411163187521107
Blvrb,0.12455660714285521,0.07916155946561351,0.24013577101617886,0.49003649967750246
Blzf1,0.2790559740259749,1.003880198075886,0.27351956506088376,0.5229909606339327
Bmf,-0.3246294642857137,-0.43307041627630166,0.24617855211473555,0.49616383596019537
Bmi1,-0.22965330357142832,-0.8645032540693489,0.26801517048564266,0.5174162975185418
Bmp1,-0.11427937500000018,-0.12191183975497703,0.2405961287017695,0.4905056276660042
Bmp10,0.151015892857143,0.8587519933890474,0.2645087188046,0.5143041112071728
Bmp15,-0.028321428571429053,-0.10360117209462079,0.24028465936159055,0.49018839170424117
Bmp2,-0.021533928571429328,-0.03229362539416639,0.2399616485409812,0.489858804698845
Bmp2k,-0.22419476190476098,-0.3446756935185171,0.24441516774600913,0.4943770351011625
Bmp4,0.04495892857142891,0.041901411061827175,0.23998541020791034,0.4898830576861281
Bmp5,-0.3341862499999997,-0.6180780072755393,0.2550102061224671,0.5048691303428715
Bmp6,-0.3878996428571426,-0.30534527443397963,0.24303474382025,0.4929855411878223
Bmp7,-0.26801339285714326,-0.18895087738616895,0.24128463430844732,0.49120638535541294
Bmp8a,0.05487160714285677,0.252628519534315,0.24205425822901458,0.49199009972662516
Bmp8b,0.17124589285714276,1.0135553636553323,0.2741700351060944,0.5236124856285366
Bmpr1a,-0.1506531249999996,-0.20254361342800625,0.2426653334606769,0.4926040714035671
Bmpr1b,0.18834910714285868,0.11292962734189314,0.2403519892906639,0.4902570644984771
Bmpr2,-0.2250051785714291,-0.5165156082039972,0.2488198317168894,0.49881843562251127
Bms1,0.0514005357142846,0.06966048746140177,0.24008863871672323,0.48998840671665206
Bmx,0.08707196428571384,0.5091015939720249,0.24856636703243978,0.49856430581464595
Bmyc,-0.13945428571428486,-0.07894765895227873,0.24013464369474607,0.4900353494338404
Bnc1,-0.06079874999999957,-0.2540723545311785,0.24207864464417847,0.4920148825433825
Bnip1,0.282981071428571,0.6125945390985214,0.25243595491072224,0.5024300497688432
Bnip2,0.13020057065217439,0.4089323640271913,0.24971373570339778,0.4995562871047882
Bnip3,-0.12032803571428552,-0.4188047223252918,0.24577346578101006,0.49575544957268
Bnip3l,-0.08426689935064825,-0.26613285445096213,0.24334260884649864,0.4932836686716941
Bnipl,-0.1683353571428574,-0.7894332599640442,0.2607003816641932,0.5105882701983989
Boc,-0.1032511607142852,-0.33822521447357284,0.24969522339268624,0.4996040900257136
Bod1l,0.1818769642857152,0.30384789802234247,0.24300433743736444,0.49295470120221435
Bok,-0.2724592857142847,-0.4468967470205674,0.2465841093495301,0.4965723606379337
Bola1,0.020865446428572243,0.24321063335780724,0.24490700233594231,0.49485632226942206
Bola2,-0.043495692640692335,-0.11946566891850229,0.24056303215579936,0.49047215590325455
Boll,0.037561607142857056,0.11015719477449093,0.24033137285163078,0.49023603789565573
Bop1,0.2236010714285701,0.5764345541369961,0.25100277910638186,0.501001775552125
Bpgm,-0.10765323214285712,-0.1516109264646872,0.240854008545966,0.4907684592418338
Bphl,0.0416962500000011,0.07962156729215554,0.24013820573221323,0.490038983890275
Bpifa1,0.06378875000000006,0.3056078616394434,0.24304009143613906,0.4929909648625815
Bpifa2,0.10148750000000017,0.31544493184945627,0.24324373610059488,0.493197461571524
Bpifb1,0.23740857142857097,1.0270833233651233,0.2750902243707695,0.524490442592398
Bpifb2,0.04619392857142923,0.12060151221568213,0.24041171009123488,0.49031796835444946
Bpifb5,0.09901267857142848,0.675410631325703,0.2551328699632041,0.5051067906524364
Bpnt1,0.2856900000000021,0.7090812219329059,0.25681878946681413,0.5067647017707964
Bptf,0.16716828352769578,0.3609393010629568,0.2505102588526132,0.5002370562511111
Braf,-0.04120625000000011,-0.03753482564887454,0.23997384803749428,0.48987125659452024
Brap,0.14072883928571578,0.3950224538737071,0.24585976462613998,0.49582687398324615
Brat1,-0.007291049107142511,0.008898570852331936,0.24055373837423966,0.4904626769403227
Brca1,0.009766030219780534,0.05839834418027804,0.2408640120954787,0.49077772888229665
Brca2,-0.12989750000000022,-0.19402499484663746,0.24118174255378586,0.4911025784434305
Brcc3,-0.017453114495797974,0.006455427708666354,0.24056028065733634,0.4904680188637177
