MGI symbol,430AV2_Hipp_Enrich,430AV2_Hipp_Hedges_g,430AV2_Hipp_Var_g,430AV2_Hipp_SEg
Retnlb,0.03790111111111116,0.3102123015889819,0.21732483656836749,0.4661811199183934
Retsat,-0.110991507936508,-0.9038736470555628,0.23869158833898418,0.48854379119136615
Rev1,-0.14244861111111007,-0.9492486731503145,0.2409966416101469,0.4909140878098192
Rev3l,-0.061007430555556665,-0.7131682666883512,0.2600517282458572,0.5086608782823032
Rex2,0.059409444444444404,0.7201186910744966,0.2297465794265355,0.4793188703009047
Rexo2,0.05960152777777594,1.1216522185527453,0.2514975432544605,0.5014953073105076
Rexo4,0.11422628306878116,1.2809132814657973,0.2713458320574634,0.5194802154945913
Rfc1,0.0452928079710147,0.33676798902102567,0.21893944288687384,0.4678831987750609
Rfc2,-0.013362777777777168,-0.1772766483610507,0.21541881709769084,0.46413232714139924
Rfc3,-0.1926796527777781,-1.2414086448766224,0.2775384298381961,0.5240363125767892
Rfc4,-0.14262277777777754,-0.9621301129269956,0.2417207978078904,0.49165109356930187
Rfc5,-0.056698333333333295,-0.7818012939920302,0.23247135395749927,0.4821528325723072
Rffl,-0.06494373456790076,-0.42386034745906226,0.22939796108330113,0.4786506528658648
Rfk,0.021720012626263694,0.22880858124324793,0.21902384336833078,0.4679589574318301
Rfng,-0.05898076388888995,-0.5788076692459132,0.22625673716606348,0.47557710199384284
Rfpl4,0.04171111111111081,0.35495407147954366,0.21820015188609604,0.46711899114261674
Rftn2,-0.013002083333332711,-0.05686817702653032,0.223883506566493,0.47296010001724326
Rfwd2,0.0194656944444489,0.2851832558872093,0.21688653707958208,0.46571078694784607
Rfwd3,-0.030588888888887666,-0.6005857440473806,0.22510341197706785,0.4744506422980876
Rfx1,-0.06097638888889012,-0.40920602034542086,0.2194194805398323,0.4684223313846515
Rfx2,-0.0014445833333338598,-0.00967122163894822,0.21449724422927502,0.4631384719814097
Rfx3,0.028435972222222716,0.2203432197474591,0.21592246781635405,0.46467458270961426
Rfx5,-0.17343180555555726,-1.6022523950313643,0.2900007502544442,0.5385171773067635
Rfxank,0.03556305555555639,0.2666448543101159,0.22159765879550417,0.47069135500549225
Rfxap,0.021536944444443762,0.27532996771560775,0.2167240988938129,0.46553635614612626
Rgcc,0.13819916666666465,1.002366317139528,0.25414058888234925,0.502952569232666
Rgl1,0.14037208333333417,1.0333624006525912,0.24666844621224218,0.4965589138072699
Rgl2,-0.056054166666667626,-0.48686341279102674,0.22146613982299668,0.4706018910108593
Rgl3,0.041919861111111345,0.27210400958621456,0.21667215774412515,0.46548056645162444
Rgn,0.05977750000000004,0.40204874664543105,0.21924870488078008,0.46824000777462416
Rgr,0.11321694444444486,0.612943079341405,0.22554447028764368,0.4749152243165549
Rgs1,0.007050555555554894,0.07106650537831577,0.2146430358662955,0.4632958405449973
Rgs10,0.09093430555555315,1.185382751255496,0.2558219128894532,0.5057884072311792
Rgs11,-0.01692888888888966,-0.09658102903840492,0.21476884313051406,0.46343159487729585
Rgs14,-0.051319166666665694,-0.4973306030664106,0.22176913235334592,0.4709237012015279
Rgs16,0.0640653240740739,0.5734935025615534,0.2295636150314927,0.47881145511868084
Rgs17,0.03772472222222234,0.23651682805119376,0.21613979356525762,0.46490837114990485
Rgs18,0.05424756944444442,0.43194248631699333,0.22248081709777134,0.471613365091163
Rgs19,-0.05483583333333364,-0.5839624504255239,0.22452426219924546,0.47383991199480585
Rgs2,-0.13461207602339229,-0.9627977636000563,0.24196939607043857,0.49187950376464046
Rgs20,-0.02086138888888822,-0.18941114510331433,0.2155496868575503,0.46427328897703163
Rgs3,-0.03150372140522812,-0.22123694435978264,0.21836536443756424,0.4672899776371922
Rgs4,-0.08459328216374173,-0.6577349338733813,0.2281221461650503,0.4775612605541799
Rgs5,0.009562986111111726,0.057818395568094,0.21467074347102988,0.4633257037753739
Rgs6,0.09553388888888925,0.5682751229673284,0.22399262901914394,0.47327859556411794
Rgs8,0.03799055555555597,0.42156428062245793,0.21972144746953207,0.46874454393574777
Rgs9,0.005598842592592727,0.08135718615599007,0.2147304540326689,0.463390146413402
Rhag,0.039317500000000116,0.4397420107025316,0.22018193550717843,0.46923547980430724
Rhbdd1,-0.08521444444444626,-0.9795178586402874,0.24271376490184163,0.49265988765256874
Rhbdd2,-0.062154236111110706,-0.5810060010045649,0.22509238777558063,0.4744079011089623
Rhbdd3,0.01349861111111128,0.16816923747557294,0.21589499325405528,0.4646426606911067
Rhbdf1,-0.1451069444444446,-1.0970340269479921,0.2498910713985026,0.4998910595304767
Rhbdl1,-0.04100541666666757,-0.40310412031841314,0.21927369714956008,0.4682666944696794
Rhbdl3,0.09536791666666566,0.8228240520572155,0.23525341684369058,0.4849554472066395
Rhbg,0.02872680555555629,0.1978024573058662,0.21564525245245883,0.46437619712088907
Rhcg,0.037992916666666154,0.30496092759273297,0.2172298217242818,0.4660792011281793
Rhd,0.16567222222222266,1.801816404906586,0.30998103318405457,0.5567594033189333
Rheb,-0.010238611111114793,-0.12402482912999897,0.2149469096914143,0.4636236724881661
Rhebl1,-0.1429661111111109,-1.317219025723518,0.26552584508809923,0.5152919998293193
Rhno1,-0.033638194444442604,-0.34623742815961994,0.2180203861154691,0.46692653181787513
Rho,0.05257065972222219,0.33620550248425884,0.2251995460455973,0.47446532520471885
Rhoa,-0.020595277777776033,-0.12262113859127584,0.2149367269087289,0.46361269062519084
Rhob,0.024191805555556556,0.2124177557902564,0.21582159041889204,0.4645660237457019
Rhobtb2,0.06485680555555184,0.53551081391379,0.22292895891429326,0.4721535332011117
Rhoc,0.14077263888888858,0.8405863490266485,0.2352764171010974,0.48505300442435917
Rhod,0.0911618055555552,0.7103280565954421,0.2293346682133535,0.4788889936231084
