MGI symbol,430AV2_WB_D2_Enrich,430AV2_WB_D2_Hedges_g,430AV2_WB_D2_Var_g,430AV2_WB_D2_SEg
2810407C02Rik,0.05575666666666734,0.5459118114082943,0.5065016421529237,0.7116892876480042
2810408M09Rik,0.006903333333333261,-0.003892769959831073,0.48448683914637164,0.6960508830530585
2810417H13Rik,-0.11159499999999989,-0.9955918697432689,0.6288518957233128,0.7875601346495662
2810428I15Rik,0.04594999999999949,0.4404098633974559,0.4978300706481472,0.7055707410658034
2810459M11Rik,-0.4192600000000004,-2.525845900410867,1.013324792718532,1.0066403492402498
2810474O19Rik,0.0686585416666666,0.3229914686167211,0.49971415127328933,0.7068172711979024
2900011O08Rik,0.0037333333333346985,0.05745125401358324,0.4819417205489777,0.6942202248198893
2900097C17Rik,0.5068799999999989,0.6452893219806133,0.5163665257551833,0.7185864775760696
3010026O09Rik,-0.31429666666666645,-2.449764571392365,0.981778871270768,0.9908475519830323
3110001D03Rik,0.07165666666666581,0.6366065479625584,0.515438991409067,0.7179407993762905
3110002H16Rik,-0.021223333333332484,-0.11695477832807734,0.48280653501448073,0.6948428131703462
3110007F17Rik,-0.1463966666666674,-0.9174968697252952,0.5518167088296427,0.7428436637877737
3110009E18Rik,0.06824999999999903,0.3487615945771764,0.4918028874876678,0.7012865944017951
3110040N11Rik,-0.19431999999999938,-1.4548579618193027,0.6580509740890845,0.8112034110437927
3110043O21Rik,0.02184000000000097,0.09730239773133505,0.4824556463836889,0.694590272307127
3110057O12Rik,-0.2363490476190475,-1.0544454571000745,0.5802285176179697,0.7610277585071533
3110070M22Rik,0.15707333333333295,0.734117281190825,0.5265773485452506,0.7256564948687847
3110079O15Rik,-0.09183666666666657,-0.2984813136732924,0.4890909245510111,0.6993503589410754
3230401D17Rik,-0.0723266666666662,-0.6405307922767137,0.5158566413212194,0.7182316070190865
3632451O06Rik,0.15824333333333396,0.5116542465900917,0.5034825056711394,0.7095650115888884
3830406C13Rik,-0.2923433333333323,-0.8111058662236365,0.5364910605185329,0.7324555007087686
4632415L05Rik,0.4247966666666665,2.272229902799654,0.9119190609314103,0.9549445329082785
4632419I22Rik,-0.23239666666666636,-0.8834581418610423,0.5467081907017137,0.7393971806152048
4632428N05Rik,-0.12770185185185134,-0.37700279910028617,0.5157212020713731,0.7176681243465531
