MGI symbol,430AV2_ZT6_B6_Enrich,430AV2_ZT6_B6_Hedges_g,430AV2_ZT6_B6_Var_g,430AV2_ZT6_B6_SEg
Etfb,-0.09434833333333437,-1.294187860086981,0.7176224300529852,0.8471259823975329
Etfdh,0.04176000000000002,0.43506644972331826,0.5690584899008186,0.7543596555362824
Ethe1,-0.026508333333334022,-0.6145137489388253,0.5878929230968183,0.7667417577625587
Etl4,0.012773148148146932,0.14957408698172456,0.5526762222676308,0.7434217219504659
Etnk1,0.030469999999998443,0.5459540541338079,0.6075737229699969,0.7785980096995028
Etos1,0.18137333333333272,1.7506278502188508,0.8565999953295208,0.9255268744501808
Ets1,-0.0345627777777775,-0.3481061315525862,0.5867408665384007,0.7655879197642195
Ets2,0.06335500000000138,0.23660616382307725,0.5557284560092407,0.7454719686274197
Etv1,-0.014630641025642231,-0.09257809064876896,0.5903364913280187,0.7683334683677617
Etv2,-0.21404500000000137,-1.1533726688496644,0.6831570596582732,0.826533157022919
Etv3,-0.004354999999999443,-0.0606612562463507,0.5539243339280622,0.7442570250647227
Etv4,0.08541166666666555,0.3756913580190047,0.5642446079823498,0.7511621715597436
Etv5,0.17995833333333344,5.024755085939161,3.0749465757004795,1.753552558579434
Etv6,-0.014246666666665853,-0.2296206465890786,0.5554027724673319,0.7452534954412036
Eva1a,0.1427633333333338,0.7732121787139864,0.6099159156644963,0.7809711362556854
Eva1c,-0.0825250000000004,-1.7999090449996094,0.8740974653604738,0.9349317971705069
Evc,-0.06910749999999943,-0.38557985803767003,0.6023313418572674,0.7755052700298626
Evi2a,-0.05578666666666621,-0.9363470306209181,0.6378047845085945,0.7986268117892076
Evi2b,0.11676366666666631,0.5437944423081882,0.6230594291036194,0.7885871967648651
Evi5,0.04011592592592707,0.08986393991193525,0.5627877455448038,0.7501645537123024
Evl,-0.013649166666667156,0.04942658781637917,0.5524797354675618,0.7432891796357953
Evpl,-0.006058333333333721,-0.05364376991292415,0.5504179737383804,0.741901593028604
Evx1,-0.16410000000000036,-1.2805970133314983,0.7141230793886887,0.8450580331484274
Evx2,-0.11934500000000003,-1.3940646524174307,0.7444718338453065,0.8628278123967182
Ewsr1,0.14639666666666606,0.7312538944914834,0.6036034341542295,0.7769191940956469
Exd2,0.07833666666666517,4.117665234730416,2.2456469068640827,1.498548266444589
Exo1,0.0019858333333333533,-0.011668719853883033,0.5521093749883024,0.7430405954688246
Exoc1,0.04741999999999713,0.3660337382166739,0.5635282780846206,0.750685205718496
Exoc4,0.05857200000000051,0.5592794807010799,0.639462182432208,0.7973309230849048
Exoc6,0.03669666666666682,0.28730413048662506,0.5583845746728009,0.747251346384067
Exoc7,0.013648333333332374,0.08146824299904155,0.5507939157950684,0.7421549136097317
Exoc8,-0.10298500000000033,-0.35885605109574686,0.5630079748741367,0.7503385734947502
Exosc1,-0.08325749999999976,-0.7405804027977838,0.6642324447639811,0.8119747819771541
Exosc10,-0.023147205882352462,0.0306669087253513,0.5725135939487066,0.7563167838462413
Exosc2,-0.12508499999999945,-1.2297994234713032,0.7013708705303683,0.837478877662218
Exosc4,-0.0824490000000008,-0.29050908460947655,0.6136885393165098,0.7832712479282208
Exosc5,-0.038878333333332904,-0.1693770214309287,0.5529990658722147,0.7436390696246498
Exosc7,0.010595000000000354,0.16592038052892955,0.5528831656008198,0.7435611377693295
Exosc8,0.07713666666666619,0.5938766635639454,0.5853991574859178,0.7651138199548599
Exosc9,0.0628666666666664,0.20615476454438264,0.5543801870277684,0.7445671138505705
Ext1,-0.07828166666666725,-0.4703616092108408,0.5722542126752745,0.7564748592486564
Ext2,-0.08310166666666596,-0.8845236671069191,0.6283684201005605,0.7926969282774851
Extl1,-0.05458333333333343,-1.18648169575354,0.690904089769153,0.8312064062368342
Extl2,-0.053529166666667294,-0.6882237979617701,0.6034413705751432,0.7765141980315295
Extl3,0.09227166666666609,0.11500941148822215,0.5541760347130158,0.7444256410638193
Eya1,0.1048700000000009,0.33707363761437453,0.561492072050792,0.7493277467509074
Eya2,-0.1699433333333329,-1.3897255156090316,0.7432639092068123,0.8621275481080583
Eya3,0.008005894308944267,-0.05241946148785522,0.6498462019389739,0.806074503561129
Eya4,-0.0023383333333337752,-0.01974632042657272,0.5501692000503723,0.741733914588225
Ezh1,0.18002952380952283,0.407656514543183,0.5692098814634078,0.7544278868127883
Ezh2,0.10927500000000023,0.3528765109996745,0.5625823915348637,0.750054925678689
Ezr,0.29196500000000025,2.8774520775446275,1.3781032541899227,1.1739264262252225
F10,-0.09729055555555544,-0.8757035997092764,0.6333951390457394,0.7954492568438796
F11,0.03563500000000008,0.16757282417362926,0.5529382734734859,0.7435981935652385
F11r,-0.12097333333333449,-0.6233460136426783,0.5889862336057552,0.7674543853583451
F12,0.0123916666666668,0.10008407195559915,0.5511318904792547,0.742382576896343
F13a1,0.09946499999999858,0.523895685880085,0.5775768773017098,0.7599847875462441
F13b,0.1493199999999999,1.3544444946072232,0.733582197230515,0.8564941314629745
F2,0.15823999999999971,0.7564577762754862,0.6073530450620988,0.7793285860675834
F2rl1,-0.012730000000000352,-0.193976007907242,0.5538928774976964,0.7442397983833547
F2rl2,-0.06530500000000039,-0.3748649588668688,0.5641825820719593,0.7511208837943193
F2rl3,-0.0016983333333331352,-0.011227098819454209,0.5501428131081235,0.7417161270379143
F3,0.2522166666666674,1.1681538123721025,0.6865885412692811,0.82860638500393
F5,0.0004258333333333475,-0.049666607886178576,0.5615442742945467,0.749359305407546
F7,-0.13431000000000015,-1.14127396782499,0.680380835296833,0.8248520081183248
F8,0.02694500000000044,0.1397371467620486,0.5520828553518532,0.743022782525444
F8a,-0.03885333333333296,-0.26441822769240664,0.5571219082469328,0.7464059942463838
F9,-0.11853833333333297,-0.9682246833850094,0.6438761120849336,0.8024189130902472
Fa2h,-0.009718333333331941,-0.049233960299767,0.5503726066180133,0.7418710175077696
Faah,-0.008044999999999192,-0.06141582972212561,0.5505073987473791,0.7419618580138598
Fabp1,-0.06368166666666686,-0.5621958555570271,0.5917301369732835,0.7688926228801173
Fabp2,-0.03399000000000019,-0.7335483057298245,0.6039395200172429,0.7771354579590632
Fabp3,0.007058333333333167,0.06435062971114282,0.5505443086877555,0.7419867308030215
Fabp3-ps1,0.007058333333333167,0.06435062971114282,0.5505443086877555,0.7419867308030215
Fabp4,0.017962500000000325,0.15655616690300317,0.5527338217797293,0.7434602511045162
Fabp5,-0.20632833333333345,-2.0734832709846316,0.9927323614890923,0.9935869644822868
Fabp5l2,-0.16648333333333554,-2.429416771100117,1.1403367931035853,1.0678655313772354
Fabp6,-0.03200333333333294,-0.8487081309300266,0.6221607574840072,0.788771676395652
Fabp7,-0.11224833333333528,-0.5286746594672422,0.5780798978896138,0.7603156567437065
