MGI symbol,MoEx_CerCx_Enrich,MoEx_CerCx_Hedges_g,MoEx_CerCx_Var_g,MoEx_CerCx_SEg
Wrb,0.022518333333332308,0.30880091960221095,0.48961316732893084,0.6997236363943488
Wrn,-0.15320619048000061,-2.338250212176554,0.9372845045619749,0.968134548790598
Wrnip1,0.03757722222333282,0.3736596739581959,0.49330179599521207,0.7023544660605584
Wsb1,-0.12501333333333342,-2.3857529888938447,0.955984777001326,0.9777447402064232
Wsb2,0.05915888890000076,0.6976672364692514,0.5222282977368867,0.7226536499159792
Wscd1,-0.01580666666666808,-0.12390869855845042,0.48294611379820396,0.6949432450194792
Wscd2,-0.09150666666666574,-0.9579075872180431,0.5581322454708244,0.7470824890671875
Wt1,-0.06048066666666685,-0.2602295478051214,0.4873099514625714,0.6980758923373385
Wtap,-0.19135722223333218,-0.9295380167983379,0.5536700770561155,0.7440901000928016
Wtip,-0.018900833333333367,-0.3250307386411433,0.49047041508846717,0.7003359301709909
Wwc1,0.20208367816000106,1.5295858163223912,0.6766360641245529,0.8225789105760936
Wwc2,-0.11262533333333291,-1.5155931965044849,0.6730852281075568,0.8204177156226923
Wwox,0.14833583333333422,0.5195673543067872,0.5041625196384462,0.7100440265493726
Wwp1,-0.10883590908999885,-0.7088710406085094,0.5235415126844492,0.7235616854729451
Wwp2,-0.11786229166666651,-1.2978278450028862,0.6220297596054029,0.7886886328617922
Wwtr1,-0.034231515150000114,-0.3508541814016376,0.4919248880505844,0.7013735723924764
Xab2,-0.016272222223335575,-0.16242671761370003,0.48386520321622994,0.6956042001139944
Xaf1,0.039444166666665836,0.19795269455071732,0.4849321057733241,0.6963706669391841
Xbp1,0.37238355555333413,6.700027717257069,4.222530951001081,2.0548797899149918
Xcl1,0.08025500000000019,0.27154998669468927,0.48781161627282377,0.6984351195872268
Xcr1,-0.12804444444666618,-0.40956778631024315,0.49564548096525596,0.7040209378741913
Xdh,0.5310949425299993,2.5667230615110697,1.0306722728743964,1.0152203075561463
Xiap,-0.12261500000333214,-2.248725196847427,0.9030637509113748,0.9502966646849682
Xirp1,-0.03759555555666694,-0.28852896081539087,0.488604080102434,0.699002203217153
Xirp2,0.001966666666667116,0.015292501115175909,0.4816861550491964,0.6940361338209966
Xist,-0.18162833333333328,-0.3468752196141994,0.4916935348318665,0.7012086243279289
Xk,-0.05175037036999974,-0.5578991417025018,0.5076042876926989,0.7124635342897901
Xkr4,-0.29340999999999795,-2.4561449672599265,0.9843873416830221,0.9921629612533528
Xkr5,0.014875416666666474,0.16539601905041076,0.48394632025981027,0.6956625045665537
Xkr6,-0.003209999999999269,-0.014547393370323552,0.4816843022211558,0.6940347989986927
Xkr7,-0.10963388889000036,-0.9074865336125895,0.5502943173906827,0.7418182509150626
Xkr8,0.062408333333332955,0.43012960507621933,0.4970842897635853,0.7050420482237817
Xkr9,0.011371666666666336,0.06182246901112629,0.4819851681395526,0.6942515164834374
Xkrx,-0.11110333333333422,-0.2953304879013867,0.48893500809033924,0.6992388777022766
Xlr,-0.22472944444333276,-1.4161647563509674,0.6487935514275495,0.8054772196825615
Xlr3a,-0.09737722222000045,-0.3605870998269494,0.49250192138013416,0.7017848113062395
Xlr3b,0.16495766666666611,0.5119275363725249,0.5035058168747034,0.709581437803092
Xlr3c,0.14460749999999933,0.5949158258618189,0.5111604033217375,0.7149548260706668
Xlr3d-ps,-0.08909619047666695,-0.15628141320252817,0.4837019900093816,0.6954868726362716
Xlr3e-ps,0.22471249999999987,0.6155078319223204,0.5132374909298095,0.7164059540022051
Xlr4a,0.0467106666666659,0.14642467574051402,0.48345334880547614,0.6953080963180827
Xlr4b,-0.30978333333333374,-0.39762470570219766,0.4948421172153965,0.7034501526159451
Xlr4c,0.09022222222666798,0.343002785171587,0.49147090921962205,0.7010498621493496
Xlr4d-ps,0.37396749999999956,0.8617502135110683,0.5435511192071976,0.7372591940472479
Xlr4e-ps,0.8351741666666666,2.9878169678979054,1.2255875194715529,1.1070625634857105
Xlr5a,0.012147333333333066,0.04424546760023126,0.48182980511693024,0.6941396150033005
Xlr5b,-0.10787666666666595,-0.17878244204923135,0.4843302634654238,0.6959384049364022
Xlr5c,-0.2590266666666663,-1.3730066865775532,0.6387622801155558,0.7992260506987718
Xlr5d-ps,-0.1556155555566665,-0.5576993474269678,0.5075857135100387,0.7124504989892552
Xlr5e-ps,0.04250833333333315,0.07319239688648767,0.48211309391349905,0.6943436425240019
Xpa,-0.2859999999999996,-1.7998500738043877,0.7516216906811383,0.8669611817614087
Xpc,0.052322222220000825,0.31318645436856274,0.48984047959999594,0.6998860475820302
Xpnpep1,0.08014999999999795,0.3431392463551693,0.491478711865766,0.7010554270995739
Xpnpep2,-0.1006952380966677,-0.9268282534709744,0.5532508842860047,0.7438083652971407
Xpnpep3,-0.031013333333334003,-0.2268267366691023,0.4859541973723294,0.6971041510221622
Xpo1,0.1431075438566669,1.5552400058456346,0.6832309563152273,0.826577858592418
Xpo4,-0.1270099999999994,-0.7545977607936342,0.5291181483828972,0.7274050786067534
Xpo5,-0.11126407407333261,-1.3795438916804095,0.6402617790893941,0.8001635952037521
Xpo6,-0.13295666666666506,-1.3511211337444746,0.6337940265042461,0.7961118178398346
