MGI symbol,430AV2_WB_B6_Enrich,430AV2_WB_B6_Hedges_g,430AV2_WB_B6_Var_g,430AV2_WB_B6_SEg
Asf1a,-0.03864666666666716,-0.2643956497379131,0.48798535445296265,0.6985552704830853
Asf1b,0.18761000000000028,0.7579192596947105,0.5295368003513481,0.7276927925652061
Asgr1,0.004176666666666051,0.021191836712570276,0.4817040911619376,0.6940490552993626
Asgr2,-0.038733333333333064,-0.18536041881481435,0.4845298737386002,0.696081801039648
Ash1l,0.12465555555555596,0.20395884697871602,0.4992540734549227,0.7065713728985187
Ash2l,0.01046166666666748,0.29695531435581995,0.5207537354544695,0.7213220335495976
Asic2,-0.2563533333333332,-1.0732412559463538,0.5776538994554422,0.7600354593408404
Asic5,0.19524000000000097,0.7996553533801342,0.5349540570157922,0.7314055352646658
Asl,0.0424733333333327,0.3514063464288458,0.49195720169253904,0.7013966079847685
Asna1,0.1070499999999992,0.675745718374295,0.5197193563250992,0.7209156374535783
Asns,-0.07635999999999932,-0.7891475756722547,0.5335628246824496,0.7304538484274347
Asnsd1,-0.10691333333333297,-0.3176218562805708,0.49007363696559286,0.7000525958566205
Aspa,-0.5400800000000006,-2.798509622555185,1.13430467562783,1.0650374057411458
Aspdh,-0.07336000000000009,-0.1587936228057965,0.48376795122031574,0.6955342919082536
Asph,0.010873137254902007,-0.29294157779024355,0.5453500356968438,0.7358735827185852
Aspm,-0.02881333333333387,-0.2390272204918493,0.5036195489576699,0.7094233245852899
Aspn,0.06851666666666656,0.3202401052249458,0.49021281041620696,0.7001519909392581
Asprv1,-0.08647666666666609,-0.4296207331805136,0.49704783119821344,0.7050161921532111
Aspscr1,-0.10973666666666748,-0.6421794346354451,0.5160328688557249,0.718354278093842
Asrgl1,-0.08701000000000025,-1.1078681937613706,0.6232914967982895,0.7839793068227653
Ass1,-0.03161666666666818,-0.19336489503940504,0.4847824985527999,0.6962632394093486
Aste1,-0.06950333333333347,-0.49885909218116664,0.5024050328209847,0.7088053560893743
Astn1,0.043836666666665636,0.36058054041832577,0.49250152717736423,0.7017845304488866
Astn2,0.07124666666666712,0.5536565302057143,0.5072112961199525,0.7121876832127557
Asun,0.15255333333333354,0.8877376381840075,0.5473398428540434,0.7398241972617842
Asxl1,0.0327733333333331,-0.4405863861760014,0.584779557042726,0.7631282450048732
Asz1,0.13224999999999998,0.7064698754997775,0.5274582750468906,0.7260072410954188
Atad1,-0.09445666666666819,-0.5704909895885478,0.5098805760247387,0.7140185365147074
Atad3a,-0.04202666666666666,-0.4572961495431925,0.49909331403225243,0.7064653664775453
Atcay,0.09219222222222268,0.25081299119339845,0.4886826335052466,0.6990402342448241
Ate1,0.42189999999999966,0.7074778635287005,0.5234733168109493,0.7235092593205077
Atf1,-0.37312666666666594,-1.178329491868414,0.5973716992839061,0.7728982463972254
Atf2,0.18533689768976927,0.2235934517718126,0.4976874270457775,0.7054612737182973
Atf3,0.1958966666666666,0.6689140352126348,0.5189538322087041,0.7203845030320295
Atf4,0.13223999999999947,2.424365231285078,0.9714622312219958,0.9856278360628802
Atf5,0.002906666666666169,0.030443714075365984,0.4817439016438918,0.6940777345830161
Atf6,0.032600000000000406,0.2282756991709358,0.48600914956933156,0.6971435645326803
Atf6b,0.10463666666666693,0.3989948641261434,0.49493307513325324,0.7035148009340338
Atf7,0.3445900000000002,1.395922535901835,0.6440499771865507,0.8025272438905428
Atf7ip,-0.15516333333333154,-1.7320458815815516,0.7316652446586344,0.8553743301377674
Atf7ip2,0.053819999999999535,0.3884828678189527,0.49424324488240307,0.7030243558244643
Atg10,-0.46932333333333354,-1.9539643286237172,0.7998313831278278,0.894332926335505
Atg12,0.2109366666666661,1.6532423418032605,0.7540517963405295,0.8604212869824198
Atg13,-0.1451546666666669,-0.6124063089935042,0.5134183937257057,0.7165099993099968
Atg14,0.03835999999999906,0.2232096141791657,0.4858185443218343,0.6970068466821788
Atg16l1,-0.05214666666666634,-0.3357520492550299,0.4910607865482459,0.7007572950374801
Atg2a,-0.07925666666666498,-0.3921189381500228,0.49447977180465835,0.7031925567045334
Atg2b,0.18139000000000038,0.7353002667174497,0.526722206852896,0.7257562999057576
Atg3,0.005606666666667426,0.03307146886751709,0.48269319262566585,0.6947611215403608
Atg4b,0.13048500000000018,0.8196479072345253,0.5395114362844706,0.7343830075509608
Atg4d,0.05153333333333254,0.7285528880331076,0.5258991092217817,0.7251890162032115
Atg5,0.08382500000000004,0.6701587645301593,0.5230913430623958,0.723052622072252
Atg7,-0.07918619047618952,-0.46678900307114385,0.5270654640406958,0.7250690612386731
Atg9b,0.10972666666666697,0.8491765198759895,0.5417583968257247,0.7360423879273018
Athl1,0.13463666666666718,1.2508242866588843,0.6120467830079754,0.7823341888272399
Atl2,0.26383666666666716,0.4796310720546031,0.5093962709275338,0.7134941875023323
Atl3,0.04834666666666654,0.338964615958097,0.5017512989368416,0.7082024161101573
Atm,0.15346000000000082,0.3585155303109054,0.49237778212284244,0.7016963603460136
Atmin,-0.06424333333333365,-0.46631439928969665,0.4997874265820758,0.7069564531016573
Atn1,-0.17470333333333388,-0.43506968443815497,0.5179470785966047,0.7192508643631709
Atoh1,0.22216999999999976,0.9030966383028018,0.5496319615094851,0.7413716756860118
Atoh7,0.1285866666666653,0.4443425276450549,0.49812002348949963,0.7057761851249301
Atoh8,0.1044333333333336,0.4045416206739002,0.49530449357145545,0.703778724864183
Atox1,-0.034473333333334466,-0.3342702630971225,0.4909780507325849,0.7006982594045634
Atp10a,-0.03197999999999945,-0.2030386151576139,0.48510205660376005,0.696492682376319
Atp11a,0.13649857142857133,0.7652215344547596,0.5482618018819807,0.7395400460489474
Atp11b,-0.29966000000000026,-1.7991309172694754,0.7514060047895752,0.8668367809395118
Atp11c,0.36674000000000007,1.0650164813364893,0.5761883421265298,0.7590707095696222
Atp12a,0.03913999999999973,0.1852908513044825,0.48452772496476154,0.6960802575599753
Atp13a1,-0.10204666666666729,-0.7932448730014303,0.5341031190452545,0.7308235895517157
Atp13a2,-0.0025842028985511843,-0.4141176649074952,0.5273695195898835,0.7255389267698863
Atp13a3,-0.1602450000000002,-0.2523620728258524,0.5226168489238807,0.7226718761611785
Atp1a1,-0.08659166666666707,-0.9835773169143213,0.5699910980004498,0.7542540142907465
Atp1a2,0.018193866666666666,-0.1738549329988982,0.543630236752337,0.7367171025601693
Atp1a3,0.11537333333333208,0.8631278879446184,0.589218876212318,0.7634215271487108
Atp1b1,0.053783333333333516,0.3711148056086129,0.5215781904786977,0.7219921116161939
Atp1b2,0.28632333333333354,0.2717624374233257,0.5029994773927391,0.709184004187742
Atp1b3,0.07259333333333373,0.6957021022569173,0.5220001179237244,0.7224957563361354
Atp1b4,-0.05915333333333317,-0.5823843682608331,0.5099309626995474,0.7140945054399644
Atp2a1,0.2507933333333341,1.228941932951743,0.6075248562139305,0.7794388085115665
Atp2a2,0.07851533333333194,0.6447979461173121,0.5202181015637243,0.7211032738678919
Atp2a3,-0.09810999999999925,-0.7724109752184188,0.5314161985596092,0.7289809803060152
Atp2b2,0.2129828571428552,0.22637741443052858,0.49848954418194363,0.706010089739341
Atp2c1,0.01079133333333407,0.0499148033690959,0.48222131764983317,0.6944215596829646
Atp2c2,-0.02679333333333256,-0.1486480445871601,0.48350802009663213,0.69534740964257
Atp4a,0.06734999999999935,0.36853819960428646,0.4929850337139639,0.7021289295520902
Atp4b,0.1240300000000003,0.5492549933263569,0.5068067539744946,0.7119036128398947
Atp5a1,0.07346666666666657,0.674141736643841,0.5195389234237644,0.7207904851090673
Atp5b,0.06368666666666556,0.5077943906807493,0.5031545952672359,0.7093339095709693
Atp5f1,-0.06657000000000046,-0.39090717519773427,0.49440070163508926,0.7031363321825215
Atp5g1,0.014196666666666857,0.1943798526506875,0.4848152939263752,0.6962867899984713
Atp5g2,-0.06777333333333324,-1.7252063675904168,0.7296947508978767,0.8542217223285046
Atp5g3,0.005173333333333474,0.18213345309549264,0.48443104956137384,0.6960108113825344
Atp5h,-0.01521500000000131,0.3827327978202541,0.5800964460415758,0.7604448307553563
Atp5j,-0.01655666666666633,-0.31424194371213315,0.48989566659899825,0.6999254721747153
Atp5j2,-0.022943333333335758,-0.21529516413678218,0.485529333975057,0.696799349866988
Atp5k,-0.003489999999999327,-0.024860338721870958,0.4817181697034471,0.694059197549782
Atp5l,0.025633333333333397,0.34708590360165315,0.49170571870658125,0.7012173120414108
Atp5l2,0.025633333333333397,0.34708590360165315,0.49170571870658125,0.7012173120414108
Atp5o,-0.06408000000000058,-1.0962569958866757,0.5818149500858731,0.762767952975132
Atp5s,-0.25723333333333276,-1.1798665885695678,0.5976737639018991,0.7730936320407116
Atp5sl,-0.12625666666666646,-0.4883429017601742,0.5015398991416289,0.708194817223078
Atp6ap2,0.04629666666666843,0.3383306489427816,0.4912056356678369,0.7008606392627831
Atp6v0a1,0.3829237373737371,-0.06698413516764802,0.5599065745836239,0.7460036443873117
Atp6v0a2,0.20662000000000003,0.3253176750815005,0.49048596581003595,0.7003470324132429
Atp6v0a4,-0.11171666666666757,-0.3791920099910446,0.49364888170342064,0.7026015098926423
Atp6v0c,-0.02264000000000088,-0.8833910951352233,0.546698318913684,0.7393905050199687
Atp6v0d1,-0.00716666666666832,-0.3972520087034957,0.4948174298682467,0.703432605064797
Atp6v0e,0.10734000000000066,0.7189058919287665,0.5247354734541579,0.7243862736511218
Atp6v0e2,0.04315333333333271,0.26335278849861465,0.48744622426749956,0.6981734915244917
Atp6v1a,0.060260000000000424,0.10395602335200026,0.5139129277327465,0.7168388886424337
Atp6v1b1,-0.04670000000000041,-0.3696468695587268,0.49305323401454715,0.7021774946653782
Atp6v1b2,0.06671000000000049,0.8621842305486527,0.543613470617231,0.737301478784107
Atp6v1c1,0.03782666666666638,-0.060472710915287976,0.520808663117896,0.7214634700121876
Atp6v1c2,0.04011333333333322,0.2139345412849282,0.4854806656628993,0.6967644262323525
Atp6v1d,-0.10211555555555485,-0.5091124035670105,0.5095739390478708,0.7137143187002438
Atp6v1e2,0.1098300000000001,0.9893114735253471,0.5632280993040744,0.7504852425624866
Atp6v1f,-0.05818666666666594,-0.4481812809836027,0.49840553838534185,0.705978426288893
Atp6v1g1,-0.09434999999999934,-0.5715722100493433,0.5387148930401942,0.7331259882986684
